"tree.no","spp","status","dbh","x.coord","y.coord","crown.class"
1,"N. obliqua",1,65.5,2.72823618139866,0.629862952162822,1
2,"A. punctatum",1,75.9,9.19699572762242,4.30178974036843,1
3,"A. punctatum",1,44.1,17.1025721587418,0.626769229079337,1
4,"E. cordifolia",1,135.75,20.0614201507941,0.578132434213689,1
5,"A. punctatum",1,78.25,3.97951966748425,2.20588377212083,1
6,"N. obliqua",1,91.8,5.1683094143225,1.88111078829118,1
7,"A. punctatum",1,61.1,3.21971037386346,4.27269997875302,2
8,"A. punctatum",2,19.4,5.74594181940854,8.84797449182423,2
9,"A. punctatum",1,5,11.6438755354085,9.7703716672354,3
10,"A. punctatum",1,8.6,11.5672710910966,9.70609290626674,3
11,"A. punctatum",1,5.9,11.7741030907387,9.87964556088211,3
12,"A. punctatum",1,9.3,19.1776725793624,3.47727610241866,3
13,"A. punctatum",1,68.5,7.88046688416843,10.086537646166,1
14,"A. punctatum",1,78.4,17.5058185785404,10.8448358857514,1
15,"A. punctatum",1,24,10.0594758109219,10.7874670988828,2
16,"A. punctatum",1,12.8,12.7932559045329,13.6224987395271,3
17,"A. punctatum",1,14.6,16.8198406234771,11.4858919144854,3
18,"A. punctatum",1,33,8.90741504625936,13.3888946354625,2
19,"A. punctatum",2,9.8,15.298595465602,17.4803833520761,3
20,"A. punctatum",1,12.1,18.9040237743769,13.8213851159184,3
21,"A. punctatum",1,37.5,4.86499933017003,16.9662689333113,2
22,"A. punctatum",1,67.1,11.7428681079492,19.5434144560082,1
23,"A. punctatum",1,54.7,12.1485665893202,21.9241439199948,2
24,"A. punctatum",1,64,6.54284534182004,17.9763198356344,1
25,"A. punctatum",1,38.4,9.40267112517752,22.1707776744183,2
26,"A. punctatum",1,22.3,4.96043362193231,22.0041452747751,2
27,"N. obliqua",1,91.8,10.5779786439314,20.760452013589,1
28,"N. obliqua",2,70.6,9.38212541064353,20.1200328722136,3
29,"A. punctatum",1,24.5,8.79929460747102,15.87434768458,2
30,"A. punctatum",1,33.2,6.24661862177921,23.0466794701841,1
31,"A. punctatum",1,27.6,2.38345012363262,24.6777842519889,2
32,"A. punctatum",1,12.4,14.6572126960061,25.6263768078612,3
33,"A. punctatum",1,36.4,1.0535403742677,27.4963292803737,2
34,"A. punctatum",1,54.8,3.55,26.1487803668695,1
35,"A. punctatum",1,32.4,11.0191859588794,25.8590051035679,1
36,"A. punctatum",1,25.4,8.74955919360999,26.9597136376086,2
37,"A. punctatum",1,45.4,8.53141523107544,29.4750965248368,1
38,"A. punctatum",1,63.4,17.7649276510381,29.0178525571878,1
39,"A. punctatum",2,65.3,4.48205823339956,34.6601519089133,3
40,"A. punctatum",1,62.8,22.7856505648125,25.5867856576379,1
41,"P. lingue",2,9.8,0.374330360802586,34.2950997471505,3
42,"L. philippiana",1,7.5,1.44056166037897,34.9608048614587,3
43,"P. lingue",1,9.55,6.80549304399795,36.7539463300655,3
44,"A. punctatum",1,68,20.9047512782846,33.621919588848,1
45,"L. philippiana",1,6.6,10.8156673417018,36.0517238974036,3
46,"N. obliqua",1,94.6,23.5244706487686,36.4283189485314,1
47,"A. punctatum",1,61.1,5.7926654858677,38.55572628327,1
48,"P. lingue",2,11,10.8044717093846,39.4170191912596,3
49,"A. punctatum",1,45.2,7.22761302894888,39.0094876216952,2
50,"L. philippiana",1,6.3,13.2318334727365,40.3405912474145,3
51,"A. punctatum",1,55.3,12.5666149962033,42.6106899200468,1
52,"P. lingue",2,5.5,9.53315360052103,41.7089287995753,3
53,"P. lingue",1,10,8.07208017710151,45.4375818761291,3
54,"A. punctatum",1,8.3,19.0758082165521,38.8026766054134,3
55,"A. punctatum",1,21,10.1392956020452,46.0444568470322,2
56,"A. punctatum",1,6.7,3.19430497168288,46.1639450800497,3
